artists,album_name,track_name,popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,tempo_category_Moderate,tempo_category_Fast,tempo_category_Extremely Fast,track_genre_death-metal,track_genre_heavy-metal,track_genre_metal,track_genre_metalcore,key_category_key_scale_A#,key_category_key_scale_B,key_category_key_scale_C,key_category_key_scale_C#,key_category_key_scale_D,key_category_key_scale_D#,key_category_key_scale_E,key_category_key_scale_F,key_category_key_scale_F#,key_category_key_scale_G,key_category_key_scale_G#,tempo_category_plot,genre_for_plot,key_label
Satyricon,"Now, Diabolical",K.I.N.G,52,216346,0.533,0.954,9,-6.632,0.0505,9.66e-06,0.398,0.051,0.398,129.758,4,3.61,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A
Cradle Of Filth,Midian,Her Ghost in the Fog,48,384813,0.379,0.996,2,-3.023,0.285,0.00457,9.26e-06,0.0981,0.0386,128.049,4,6.41,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Fast,black-metal,key_scale_D
End It,End It,Give Up / Vas a Morir,26,145264,0.197,0.932,6,-4.834,0.0811,1.41e-05,0.937,0.349,0.734,164.071,4,2.42,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fast,black-metal,key_scale_F#
Wiegedood,There's Always Blood At The End Of The Road,Until It Is Not,25,340482,0.223,0.943,9,-3.981,0.235,2.58e-05,0.969,0.375,0.0306,78.705,4,5.67,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_A
Gruzja,Vulgator (Priest Simulator Ost),Wybór Nie Zakaz,27,208946,0.499,0.973,2,-5.173,0.106,0.000156,0.0964,0.285,0.25,124.976,4,3.48,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Fast,black-metal,key_scale_D
Winds of Plague,The Great Stone War,The Great Stone War,25,257733,0.276,0.976,4,-3.863,0.185,4.37e-05,0.589,0.581,0.137,130.074,4,4.3,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Fast,black-metal,key_scale_E
Winds of Plague,Decimate the Weak,Origins and Endings,26,270213,0.297,0.929,9,-3.547,0.0844,1.7e-05,0.367,0.0751,0.252,124.959,4,4.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A
Cradle Of Filth,Metal,Courting Baphomet,0,317480,0.476,0.968,0,-5.046,0.0424,0.000103,0.0487,0.0469,0.421,94.993,4,5.29,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C
Kanonenfieber,Menschenmühle,Ins Niemandsland,28,260933,0.532,0.926,7,-8.869,0.0949,0.000892,0.384,0.351,0.213,134.069,4,4.35,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fast,black-metal,key_scale_G
Therion,Les Fleurs du mal,Lilith,26,148626,0.328,0.8,7,-4.682,0.0374,0.00193,0.00171,0.265,0.428,81.455,4,2.48,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Moderate,black-metal,key_scale_G
End It,One Way Track,One Way Track,30,135530,0.244,0.939,2,-3.156,0.126,0.000255,0.699,0.343,0.394,177.634,4,2.26,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Extremely Fast,black-metal,key_scale_D
Eisregen,Leblos,Leblos,29,234013,0.458,0.963,11,-5.455,0.0623,2.4e-05,2.31e-05,0.156,0.607,74.991,4,3.9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Slow,black-metal,key_scale_B
Winds of Plague,Decimate the Weak,Angels of Debauchery,25,272693,0.481,0.959,4,-3.658,0.0944,3.55e-05,0.675,0.133,0.28,114.399,4,4.54,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Moderate,black-metal,key_scale_E
Samael,Ceremony of Opposites,Flagellation,24,221546,0.353,0.973,1,-6.297,0.0787,1.31e-05,0.708,0.104,0.286,118.021,4,3.69,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C#
Samael,Ceremony of Opposites,Crown,25,246200,0.266,0.921,6,-6.115,0.0387,0.000736,0.658,0.0929,0.399,88.255,4,4.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Moderate,black-metal,key_scale_F#
Sarcófago,The Laws of Scourge,Midnight Queen,31,375666,0.258,0.804,2,-8.187,0.0441,5.71e-05,0.768,0.173,0.145,120.728,4,6.26,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Fast,black-metal,key_scale_D
Samael,Ceremony of Opposites,Till We Meet Again,24,251706,0.357,0.943,1,-6.679,0.0608,0.000122,0.313,0.226,0.257,83.101,4,4.2,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C#
Kvelertak,Kvelertak,Ordsmedar Av Rang,25,267386,0.4,0.823,0,-5.412,0.0563,0.000337,0.787,0.1,0.128,134.887,4,4.46,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C
Thurisaz,Scent of a Dream,Years of Silence,49,431293,0.26,0.738,1,-7.454,0.0378,0.283,0.0782,0.0799,0.242,117.157,3,7.19,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C#
Deafheaven,Sunbather,Dream House,46,554573,0.1,0.804,7,-4.669,0.0768,6.84e-06,0.916,0.384,0.0954,82.211,4,9.24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Moderate,black-metal,key_scale_G
Agalloch,The Mantle,A Desolation Song (2016 - Remaster),12,308522,0.246,0.666,9,-9.228,0.0487,0.375,0.204,0.223,0.319,61.256,4,5.14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Slow,black-metal,key_scale_A
Alcest,Écailles de lune,Sur l'océan couleur de fer,42,498706,0.464,0.306,7,-11.667,0.0262,0.887,0.867,0.157,0.115,133.982,4,8.31,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fast,black-metal,key_scale_G
Cradle Of Filth,Godspeed On The Devil's Thunder,The Death of Love,42,433706,0.555,0.959,2,-4.212,0.0403,0.000974,0.00339,0.39,0.396,109.968,4,7.23,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Moderate,black-metal,key_scale_D
Alcest,Kodama,Kodama,41,547400,0.466,0.573,3,-9.266,0.031,0.000925,0.782,0.341,0.245,104.996,3,9.12,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Moderate,black-metal,key_scale_D#
Agalloch,The Mantle,In The Shadow Of Our Pale Companion (2016 - Remaster),11,892319,0.247,0.846,11,-6.737,0.0531,0.00122,0.586,0.125,0.0698,115.064,4,14.87,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_B
ORM,Intet • Altet,"Floden, som kan skabe",23,1455781,0.102,0.65,6,-11.909,0.0738,0.000163,0.207,0.141,0.0605,158.445,3,24.26,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fast,black-metal,key_scale_F#
Behemoth,The Satanist,Ora Pro Nobis Lucifer,44,335213,0.105,0.986,1,-4.138,0.108,1.51e-05,4.6e-05,0.0746,0.0591,176.042,4,5.59,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Extremely Fast,black-metal,key_scale_C#
Akitsa,Goétie,Affront Final,23,300160,0.325,1.0,1,-5.453,0.0621,0.00065,0.0114,0.227,0.0441,171.806,4,5.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C#
In The Burial,Lamentations: Of Deceit & Redemption,In Linear Lights,23,478760,0.159,0.944,5,-5.807,0.0843,0.000388,0.135,0.0925,0.0375,99.721,4,7.98,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Moderate,black-metal,key_scale_F
Wormwood,Arkivet,The Archive,22,429540,0.424,0.948,9,-6.401,0.096,0.0002,0.00104,0.111,0.134,136.047,4,7.16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A
Mayhem,Deathcrush,Chainsaw Gutsfuck,50,212760,0.249,0.828,3,-10.821,0.0685,3.04e-06,0.951,0.112,0.279,120.23,5,3.55,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Fast,black-metal,key_scale_D#
Vreid,Wild North West,Wild North West,24,323319,0.307,0.865,8,-4.902,0.0363,2.61e-05,0.813,0.0452,0.191,82.466,4,5.39,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Moderate,black-metal,key_scale_G#
Kvaen;Rasmus Rova;Sebastian Ramstedt,The Great Below,Ensamvarg,22,277385,0.191,0.795,6,-13.144,0.057,1.24e-06,0.0157,0.266,0.336,119.931,4,4.62,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Moderate,black-metal,key_scale_F#
Behemoth,Opvs Contra Natvram,Post-God Nirvana,49,190520,0.365,0.685,1,-9.227,0.0525,0.104,0.357,0.189,0.0395,79.99,4,3.18,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C#
Gruzja,Vulgator (Priest Simulator Ost),Happy End,24,228491,0.575,0.863,2,-4.917,0.05,0.000795,0.0226,0.154,0.637,120.033,4,3.81,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Fast,black-metal,key_scale_D
